t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft
86,41.74830000000016,-82.79719999999985,15000.0,42.41649999999997,-82.6093,8000.0,41.966199999999965,-84.66728242786995,15285.714285714286,41.846870683854156,-82.2870000424323,14528.57142857143,39.6369957589119,-81.82224888730305,34000.0
87,41.74830000000016,-82.79719999999985,15000.0,42.41649999999997,-82.6093,8000.0,41.966199999999965,-84.61356576827535,14214.285714285714,41.94180890321179,-82.3407167020269,13457.142857142857,39.6369957589119,-81.82224888730305,34000.0
88,41.74830000000016,-82.79719999999985,15000.0,42.41649999999997,-82.6093,8000.0,41.966199999999965,-84.56608329797302,13142.857142857143,42.03674712256943,-82.3944333616215,12385.714285714286,39.6369957589119,-81.82224888730305,34000.0
89,41.74830000000016,-82.79719999999985,15000.0,42.41649999999997,-82.6093,8000.0,41.966199999999965,-84.51236663837842,12071.42857142857,42.13168534192707,-82.44815002121612,11314.285714285714,39.6369957589119,-81.82224888730305,34000.0
90,41.74830000000016,-82.79719999999985,15000.0,42.41649999999997,-82.6093,8000.0,41.966199999999965,-84.45864997878382,12071.42857142857,42.226623561284704,-82.50186668081075,10242.857142857143,39.6369957589119,-81.82224888730305,34000.0
91,41.748300000000164,-82.79719999999985,15000.0,42.41649999999997,-82.6093,8000.0,41.966199999999965,-84.40493331918923,12071.42857142857,42.32156178064234,-82.55558334040538,9171.42857142857,39.6369957589119,-81.82224888730305,34000.0
92,41.748300000000164,-82.79719999999985,15000.0,42.416499999999964,-82.6093,8000.0,41.966199999999965,-84.35121665959463,11000.0,42.41649999999998,-82.6093,8100.0,39.6369957589119,-81.82224888730305,34000.0
93,41.748300000000164,-82.79719999999985,15000.0,42.416499999999964,-82.6093,8000.0,41.966199999999965,-84.2975,11000.0,42.41649999999998,-82.6093,8100.0,39.6369957589119,-81.82224888730305,34000.0
94,41.74830000000016,-82.79719999999985,15000.0,42.416499999999964,-82.6093,8000.0,41.966199999999965,-84.2975,11000.0,42.41649999999998,-82.6093,8100.0,39.6369957589119,-81.82224888730305,34000.0
95,41.74830000000016,-82.79719999999985,15000.0,42.416499999999964,-82.6093,8000.0,41.966199999999965,-84.2975,11000.0,42.41649999999998,-82.6093,8100.0,39.6369957589119,-81.82224888730305,34000.0
96,41.74830000000016,-82.79719999999985,15000.0,42.416499999999964,-82.6093,8000.0,41.966199999999965,-84.2975,11000.0,42.41649999999998,-82.6093,8100.0,39.6369957589119,-81.82224888730305,34000.0
97,41.74830000000016,-82.79719999999985,15000.0,42.416499999999964,-82.6093,8000.0,41.966199999999965,-84.2975,11000.0,42.41649999999998,-82.6093,8100.0,39.73193397826954,-81.87596554689765,32928.57142857143
