acId,entry_lat,entry_lon,entry_alt,entry_rectime,exit_lat,exit_lon,exit_alt,exit_rectime
NKS768_KATLtoKDTW,39.36551787946668,-82.41616891199598,37000.0,2023-12-22 07:07:31,41.67306092319959,-82.94156103269796,13725.249887020076,2023-12-22 07:29:05
RJA267_OJAItoKDTW,43.01981591961384,-80.46660888759705,29673.76889922359,2023-12-22 15:01:53,42.491175333060646,-82.76804438487403,7283.229403388347,2023-12-22 15:20:26
RPA3592_KIADtoKDTW,40.67243725086847,-80.783246241747,30000.0,2023-12-22 09:36:46,41.74963022850776,-82.79683093811357,18281.616278475864,2023-12-22 09:53:17
RPA3611_KIADtoKDTW,40.69475370909346,-80.76986511336376,30000.0,2023-12-22 17:55:57,41.74944976550995,-82.79688067920458,15055.9303685698,2023-12-22 18:14:00
RPA4412_KLGAtoKDTW,42.51437072174892,-80.36900118630447,31225.192091303546,2023-12-22 13:14:03,42.42155708024059,-82.62002438968153,8796.492138257083,2023-12-22 13:31:15
RPA4715_KLGAtoKDTW,42.514458073230294,-80.36901421220203,32995.877145676706,2023-12-22 20:40:44,42.41652229875117,-82.60934789507043,9016.275850139786,2023-12-22 20:57:34
RPA5702_KINDtoKDTW,40.48,-85.75583,21000.0,2023-12-22 18:21:09,41.73723087233732,-84.17154779707819,17659.787106482992,2023-12-22 18:35:55
SCX8621_KMSPtoKDTW,43.335463038667235,-86.13405145303786,31000.0,2023-12-22 12:02:35,42.6885633822076,-83.95770276701042,12248.735706759331,2023-12-22 12:16:37
SKW3631_KMKEtoKDTW,43.0057340050133,-86.24372532459199,25000.0,2023-12-22 08:22:06,42.68902735633717,-83.9569782516508,12352.243355343993,2023-12-22 08:37:41
SKW3702_KMBStoKDTW,43.57889,-84.0075,3000.0,2023-12-22 06:34:03,42.914939061604706,-83.60209690873862,7000.0,2023-12-22 06:43:42
SKW3749_KMKEtoKDTW,42.980072111706384,-86.25016320267274,25000.0,2023-12-22 10:53:07,42.68918884318989,-83.9567261754378,10982.613525037326,2023-12-22 11:08:17
SKW3916_KELMtoKDTW,42.44226274438839,-80.36468058229852,28000.0,2023-12-22 06:58:16,42.41183634838898,-82.61062528766367,17727.876686675405,2023-12-22 07:13:04
SKW3939_KTVCtoKDTW,44.47194,-85.16778,14600.0,2023-12-22 18:20:03,42.914752822298695,-83.60239098332168,11550.620677241086,2023-12-22 18:37:39
SKW3983_KMDWtoKDTW,41.77142718555955,-86.31708958885297,21000.0,2023-12-22 11:01:08,41.96798725045331,-84.29667359610106,17025.981980959343,2023-12-22 11:15:01
SKW4010_KIADtoKDTW,40.67293769914379,-80.78294659688842,28000.0,2023-12-22 07:23:18,41.749666105202074,-82.79682063922179,17877.328841616607,2023-12-22 07:39:54
SKW4151_KCMHtoKDTW,40.005,-82.92861,1900.0,2023-12-22 06:29:24,41.743873406222036,-82.80564328074885,12028.461009016442,2023-12-22 06:48:43
SKW4177_KMBStoKDTW,43.45778,-84.01639,3900.0,2023-12-22 14:19:01,42.914643516322485,-83.60256370884726,7000.0,2023-12-22 14:27:21
SKW4243_KESCtoKDTW,44.475,-85.27833,21000.0,2023-12-22 19:37:26,42.90712715937576,-83.59534394871133,11706.53986576965,2023-12-22 19:54:14
SKW4288_KIMTtoKDTW,44.42189342998673,-85.3777786185346,21000.0,2023-12-22 08:28:36,42.914872415959394,-83.60220180958576,11786.123430058442,2023-12-22 08:46:17
SKW4944_KORDtoKDTW,43.295021850077035,-86.1485640548552,23000.0,2023-12-22 10:50:22,42.68943318013449,-83.95634450570105,12932.928939564947,2023-12-22 11:05:44
SKW5785_KORDtoKDTW,43.14333,-86.20283554065244,25000.0,2023-12-22 22:58:20,42.68878427642445,-83.95735784346417,12268.747465924078,2023-12-22 23:14:24
SWA179_KBWItoKDTW,40.694704547525234,-80.76989494206009,30000.0,2023-12-22 11:25:23,41.7491544651425,-82.79696307307904,16902.643281079785,2023-12-22 11:42:52
SWA3201_KBWItoKDTW,40.67817474259276,-80.77980736821634,34000.0,2023-12-22 00:30:15,41.739315507408264,-82.81433373676849,12000.0,2023-12-22 00:48:10
SWA3255_KDENtoKDTW,43.07999684681137,-86.2250655561133,37000.0,2023-12-22 00:30:01,42.60683693489004,-83.99816224534655,13370.483095150092,2023-12-22 00:45:17
SWA452_KBNAtoKDTW,40.53083,-85.64083,29300.0,2023-12-22 19:52:55,41.737226584942924,-84.17145594671412,19588.04298457133,2023-12-22 20:06:28
SWA692_KSTLtoKDTW,40.50556,-85.62667,31900.0,2023-12-22 09:58:54,41.737239051751104,-84.17172239933053,20041.774129795947,2023-12-22 10:13:19
THY7KG_LTFMtoKDTW,43.08043979538153,-80.48184494087386,30839.867738552388,2023-12-22 19:18:06,42.4915625877837,-82.76886994552825,7110.334597826172,2023-12-22 19:37:36
UAL1220_KDENtoKDTW,40.49556,-85.78861,35000.0,2023-12-22 22:53:56,41.73729484459126,-84.17291044475307,16977.864880858804,2023-12-22 23:08:19
UAL1522_KIAHtoKDTW,40.48417,-85.64806,33000.0,2023-12-22 23:22:54,41.73733568303239,-84.17378389658631,17008.407625857257,2023-12-22 23:36:59
UAL1889_KDENtoKDTW,43.29527155879361,-86.14847439468211,33000.0,2023-12-22 14:14:54,42.68828050849473,-83.95814453885258,11710.03224286283,2023-12-22 14:29:38
UAL2236_KEWRtoKDTW,42.514607664330704,-80.3690362175323,33827.06883597506,2023-12-22 08:45:39,42.416534527657504,-82.60937377873996,9517.743318900706,2023-12-22 09:01:35
UPS1440_KPHLtoKDTW,41.25726093444073,-80.5128711526116,26000.0,2023-12-22 04:59:14,41.99542776726812,-82.72818417796795,11055.26342741768,2023-12-22 05:15:00
UPS1480_KSDFtoKDTW,39.99806,-84.75528,27000.0,2023-12-22 03:04:56,41.71907908185111,-83.79654966696845,10908.876982671507,2023-12-22 03:23:17
UPS1482_KSDFtoKDTW,40.01444,-84.74861,29000.0,2023-12-22 05:43:05,41.7373858345571,-84.17485761153203,10991.051091780266,2023-12-22 05:58:19
UPS9601_KPHLtoKDTW,40.15281539706761,-81.17638126583903,38000.0,2023-12-22 20:53:29,39.64806,-83.5075,30000.0,2023-12-22 21:09:04
