recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,t,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-22 00:41:15,SWA3201_KBWItoKDTW,41.148284021844766,-81.52462044142607,23344.0,303.04,-500.0,60.0,660.0,153122.69383301013,-116704.32058018772,7115.251200000001,0.24016326441837554,170.5310375099213,758.9159155620667,295.4008152346019,0.007204897932551266,0.28819591730205063,1.3392654694578066,5.29742280447902,0.5308366038820626,538878.0785313513,209753.1761372032,5.115931125297639,204.63724501190555,1044.364260706078,3443.609262071707,342.54828301448845
2023-12-22 00:42:15,SWA3201_KBWItoKDTW,41.22021394807026,-81.58276376016849,22844.0,303.66,-500.0,60.0,720.0,148091.18954238077,-108809.12070478355,6962.8512,0.24169236491344503,185.032579404728,763.7478731264863,297.2816088435374,0.00725077094740335,0.29003083789613404,1.3534423112540581,5.284740408611185,0.5295582029275522,584702.9509189405,227590.07266781546,5.5509773821418396,222.0390952856736,1125.5707993813216,3760.693686588378,374.3217751901416
2023-12-22 00:43:15,SWA3201_KBWItoKDTW,41.14131468511699,-81.64457954644875,22344.0,304.28,-500.0,60.0,780.0,143095.28475589273,-117686.13276889914,6810.4512,0.2433683365618453,199.63467959843874,769.0439435354311,299.3430539710697,0.007301050096855359,0.29204200387421436,1.3690700038495682,5.2727289712423815,0.5283358906601546,630845.5875310664,245550.65590607963,5.989040387953161,239.56161551812647,1207.7149996122957,4077.057424862921,406.02192862975085
2023-12-22 00:44:15,SWA3201_KBWItoKDTW,41.210228064044905,-81.70963152452279,21844.0,304.89,-500.0,60.0,840.0,137502.8054714503,-110130.48950536475,6658.051200000001,0.24518232289165862,214.34561897193825,774.7761403376412,301.5742571567401,0.0073554696867497585,0.2942187874699903,1.386076627341015,5.261327815098456,0.5271645321294216,677332.1559513249,263645.111335484,6.430368569158147,257.2147427663259,1290.8795972527566,4392.737093768828,437.65180055751614
2023-12-22 00:45:15,SWA3201_KBWItoKDTW,41.27748667395556,-81.77812028728015,21344.0,305.51,-500.0,60.0,900.0,131637.86306816444,-102759.85934269777,6505.6512,0.2471512092000418,229.17469152394077,780.9978210721321,303.9959873160514,0.007414536276001253,0.2965814510400501,1.404647694475468,5.250557840774173,0.5260449901630928,724192.0252156528,281884.8705744471,6.875240745718222,275.0096298287289,1375.1584589212848,4707.770564215279,469.2144999673017
2023-12-22 00:46:15,SWA3201_KBWItoKDTW,41.249900334439516,-81.8434954273482,20844.0,306.12,-500.0,60.0,960.0,126229.04770248818,-105925.28927131213,6353.251200000001,0.2492572138671089,244.1301243559673,787.6527958200641,306.58637305654395,0.007477716416013266,0.29910865664053066,1.4246246718226137,5.240314679172597,0.5249684056814709,771451.1929648566,300280.05295783974,7.323903730679018,292.9561492271608,1460.6359392306417,5022.189444965635,500.71260430818995
2023-12-22 00:47:15,SWA3201_KBWItoKDTW,41.321037867459346,-81.9062208768347,18656.0,308.8,-500.0,60.0,1020.0,120853.01081207229,-98106.1831550775,5686.348800000001,0.26034790848027056,259.7509988647835,822.6993907976549,320.2279274307328,0.007810437254408117,0.31241749017632464,1.5317599788894305,5.201145133776344,0.5206891488054795,820813.1564127159,319493.7286036837,7.792529965943505,311.7011986377403,1552.5415379640076,5334.258152992215,531.9539532365187
2023-12-22 00:48:15,SWA3201_KBWItoKDTW,41.3941358144757,-81.9660564265028,18156.0,309.41,-500.0,60.0,1080.0,115725.82972340786,-90061.26572619959,5533.9488,0.26324081286095546,275.5454476364408,831.8409686406193,323.7861998189752,0.007897224385828664,0.31588897543314653,1.5601807946451225,5.192871795844489,0.5197538296709963,870723.6145311531,338920.90059282223,8.266363429093225,330.65453716372906,1646.152385642715,5645.8304607428845,563.1391830167785
2023-12-22 00:49:15,SWA3201_KBWItoKDTW,41.46887472159379,-82.02269941031813,17656.0,310.01,-500.0,60.0,1140.0,110872.92233375888,-81826.17952053253,5381.5488000000005,0.2662700551626084,291.5216509461973,841.4133743138425,327.5121678500083,0.007988101654878252,0.31952406619513,1.5901430974722324,5.184722467027073,0.5188212466541599,921208.4169899836,358571.63066382275,8.74564952838592,349.82598113543685,1741.560971491049,5956.913808764509,594.2684578160281
2023-12-22 00:50:15,SWA3201_KBWItoKDTW,41.54516338289355,-82.07606013049956,17156.0,310.62,-500.0,60.0,1200.0,106301.35723050953,-73411.49313890455,5229.1488,0.2694615682633058,307.6893450419957,851.4985557120464,331.43772896386616,0.008083847047899174,0.323353881915967,1.6219453464245317,5.176674499647715,0.5178869460418313,972298.3303327064,378457.8944016547,9.23068035125987,369.2272140503949,1838.877692276521,6267.5142787433715,625.341674578538
