t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
18000,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
18600,41.918299999999576,-84.02169999999963,8000.0,41.673,-82.9404999999995,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.91499999999999,-83.60199999999982,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
19200,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
19800,41.918299999999505,-84.02169999999957,8000.0,41.673,-82.94049999999947,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.91499999999999,-83.60199999999978,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
20400,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
21000,41.918299999999434,-84.02169999999954,8000.0,41.673,-82.94049999999942,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.91499999999999,-83.6019999999997,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
21600,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
22200,41.918299999999384,-84.02169999999961,8000.0,41.673,-82.94049999999939,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.91499999999999,-83.60199999999968,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
22800,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
23400,41.91829999999936,-84.02169999999961,8000.0,41.673,-82.94049999999935,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.91499999999999,-83.60199999999962,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
24000,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
24600,41.91829999999935,-84.02169999999958,8000.0,41.673,-82.94049999999929,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.91499999999999,-83.60199999999962,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
25200,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
25800,41.918299999999235,-84.02169999999951,8000.0,41.673,-82.94049999999928,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,42.88646273501303,-81.18552892603212,20000.0,42.91499999999999,-83.60199999999953,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
26400,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,42.720564806120656,-81.88929999999996,18000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
27000,41.91829999999889,-84.0216999999995,8000.0,41.673,-82.9404999999992,16984.082545699202,40.49639,-85.01750000000004,19200.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999953,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
