t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft,f21_lat,f21_lon,f21_alt_ft,f22_lat,f22_lon,f22_alt_ft,f23_lat,f23_lon,f23_alt_ft,f24_lat,f24_lon,f24_alt_ft,f25_lat,f25_lon,f25_alt_ft,f26_lat,f26_lon,f26_alt_ft,f27_lat,f27_lon,f27_alt_ft,f28_lat,f28_lon,f28_alt_ft,f29_lat,f29_lon,f29_alt_ft,f30_lat,f30_lon,f30_alt_ft
124200,42.41650000000142,-82.60929999999999,8000.0,41.91829999999827,-84.02169999999973,8000.0,41.91829999999835,-84.02169999999964,8000.0,42.41649999999817,-82.60929999999999,8000.0,41.91830000000458,-84.02169999999933,8000.0,41.96620000000112,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,24042.424992849068,41.67300000000034,-82.94049999999967,16984.082545699202,42.41650000000523,-82.60929999999996,8000.0,41.91829999999657,-84.02169999999946,8000.0,41.67300000000034,-82.9404999999996,14000.0,41.96620000000106,-84.29749999999999,11000.0,41.673000000000684,-82.9405,17000.0,41.966200000003866,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.673,-82.9405,18615.59306899031,41.9183,-84.0217,8000.0,42.4165,-82.60929999999968,8000.0,41.673000000000684,-82.94049999999957,23000.0,42.41650000000142,-82.60929999999999,8000.0,42.4165,-82.60929999999999,8000.0,42.41650000000109,-82.60929999999996,8000.0,41.96620000000106,-84.29749999999999,11000.0,41.96620000000089,-84.29749999999999,11000.0,41.9662,-84.2975,11000.0,42.416500000004746,-82.60929999999999,8000.0,41.91830000000448,-84.02169999999926,8000.0,41.96620000000089,-84.29750000000001,11000.0,41.918300000000556,-84.0217,8000.0
124800,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.29749999999999,11000.0,42.41650000000034,-82.60929999999996,8000.0,41.673,-82.94049999999986,24042.424992849068,41.673,-82.9405,16984.082545699202,42.41650000000415,-82.60929999999996,8000.0,41.9183,-84.0217,8000.0,41.673,-82.9405,14000.0,41.9662,-84.2975,11000.0,41.67300000000034,-82.94049999999972,17000.0,41.9662,-84.2975,11000.0,41.96620000000468,-84.2975,11000.0,41.673,-82.94049999999878,18615.59306899031,41.91829999999949,-84.02169999999978,8000.0,42.41650000000134,-82.60929999999996,8000.0,41.67300000000034,-82.9405,23000.0,42.4165,-82.60929999999999,8000.0,42.41650000000591,-82.60929999999999,8000.0,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.966200000000995,-84.29750000000001,11000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.2975,11000.0,41.9183,-84.02169999999983,8000.0
125400,42.41649999999957,-82.60929999999999,8000.0,41.91829999999884,-84.02169999999978,8000.0,41.91830000000215,-84.02169999999951,8000.0,42.41649999999808,-82.60929999999999,8000.0,41.91829999999516,-84.02169999999931,8000.0,41.96620000000108,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,24042.424992849068,41.6730000000004,-82.94049999999974,16984.082545699202,42.4165,-82.60929999999996,8000.0,41.91829999999652,-84.02169999999943,8000.0,41.6730000000004,-82.94049999999966,14000.0,41.9661999999991,-84.29749999999999,11000.0,41.673,-82.9405,17000.0,41.96620000000365,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.673,-82.9405,18615.59306899031,41.9183,-84.0217,8000.0,42.4165,-82.60929999999976,8000.0,41.673,-82.94049999999976,23000.0,42.41649999999957,-82.60929999999999,8000.0,42.4165,-82.60929999999999,8000.0,42.41650000000088,-82.60929999999996,8000.0,41.9661999999991,-84.29749999999999,11000.0,41.966199999999326,-84.29749999999999,11000.0,41.9662,-84.2975,11000.0,42.41650000000456,-82.60929999999999,8000.0,41.918300000004194,-84.02169999999923,8000.0,41.966199999999326,-84.29750000000001,11000.0,41.9183000000004,-84.0217,8000.0
126000,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.29750000000001,11000.0,42.4165000000004,-82.60929999999996,8000.0,41.673,-82.94049999999984,24042.424992849068,41.67300000000041,-82.9405,16984.082545699202,42.41650000000409,-82.60929999999996,8000.0,41.9183,-84.0217,8000.0,41.67300000000041,-82.9405,14000.0,41.9662,-84.2975,11000.0,41.672999999999604,-82.9404999999998,17000.0,41.9662,-84.2975,11000.0,41.96620000000458,-84.29750000000001,11000.0,41.673,-82.94049999999866,18615.59306899031,41.918299999999576,-84.02169999999977,8000.0,42.41649999999924,-82.60929999999996,8000.0,41.6730000000004,-82.9405,23000.0,42.4165,-82.60929999999999,8000.0,42.41650000000588,-82.60929999999999,8000.0,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.966199999999574,-84.29750000000001,11000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.2975,11000.0,41.9183,-84.0216999999998,8000.0
126600,42.41649999999947,-82.60929999999999,8000.0,41.91829999999941,-84.02169999999984,8000.0,41.91829999999838,-84.02169999999973,8000.0,42.416500000003374,-82.60929999999999,8000.0,41.91829999999492,-84.02169999999923,8000.0,41.96620000000119,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,24042.424992849068,41.673,-82.94049999999974,16984.082545699202,42.4165,-82.60929999999996,8000.0,41.918299999996194,-84.02169999999933,8000.0,41.673,-82.94049999999969,14000.0,41.966199999999375,-84.29749999999999,11000.0,41.673000000000506,-82.9405,17000.0,41.96620000000349,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.673,-82.9405,18615.59306899031,41.9183,-84.0217,8000.0,42.4165,-82.6092999999997,8000.0,41.673,-82.94049999999974,23000.0,42.41649999999947,-82.60929999999999,8000.0,42.4165,-82.60929999999999,8000.0,42.416500000001015,-82.60929999999996,8000.0,41.966199999999375,-84.29749999999999,11000.0,41.96619999999907,-84.29749999999999,11000.0,41.9662,-84.2975,11000.0,42.41650000000442,-82.60929999999999,8000.0,41.91830000000399,-84.02169999999931,8000.0,41.96619999999913,-84.29750000000001,11000.0,41.91830000000051,-84.0217,8000.0
127200,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.29750000000001,11000.0,42.416499999999374,-82.60929999999996,8000.0,41.673,-82.94049999999982,24042.424992849068,41.673000000000656,-82.9405,16984.082545699202,42.41650000000427,-82.60929999999996,8000.0,41.9183,-84.0217,8000.0,41.673000000000656,-82.9405,14000.0,41.966200000000754,-84.2975,11000.0,41.673,-82.94049999999969,17000.0,41.9662,-84.2975,11000.0,41.966200000004214,-84.29750000000001,11000.0,41.673,-82.94049999999861,18615.59306899031,41.918299999999334,-84.02169999999971,8000.0,42.41649999999883,-82.60929999999996,8000.0,41.673000000000606,-82.9405,23000.0,42.4165,-82.60929999999999,8000.0,42.416500000005996,-82.60929999999999,8000.0,42.4165,-82.60929999999996,8000.0,41.966200000000754,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.96619999999933,-84.29750000000001,11000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.2975,11000.0,41.9183,-84.02169999999968,8000.0
127800,42.41649999999924,-82.60929999999999,8000.0,41.91829999999958,-84.02169999999984,8000.0,41.91829999999815,-84.02169999999968,8000.0,42.416499999997896,-82.60929999999999,8000.0,41.91829999999461,-84.02169999999919,8000.0,41.966200000001436,-84.2975,11000.0,42.41650000000075,-82.60929999999996,8000.0,41.673,-82.9405,24042.424992849068,41.673,-82.94049999999963,16984.082545699202,42.4165,-82.60929999999996,8000.0,41.91829999999568,-84.02169999999929,8000.0,41.673,-82.94049999999957,14000.0,41.9662,-84.29750000000001,11000.0,41.673000000000755,-82.9405,17000.0,41.96620000000339,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.673,-82.9405,18615.59306899031,41.9183,-84.0217,8000.0,42.4165,-82.60929999999959,8000.0,41.673,-82.9404999999997,23000.0,42.41649999999918,-82.60929999999999,8000.0,42.4165,-82.60929999999999,8000.0,42.41649999999875,-82.60929999999996,8000.0,41.9662,-84.29750000000001,11000.0,41.96619999999875,-84.29749999999999,11000.0,41.9662,-84.2975,11000.0,42.41650000000425,-82.60929999999999,8000.0,41.91830000000433,-84.02169999999936,8000.0,41.966199999999034,-84.29750000000001,11000.0,41.918300000000755,-84.0217,8000.0
128400,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.29749999999999,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.94049999999976,24042.424992849068,41.67300000000085,-82.9405,16984.082545699202,42.41650000000457,-82.60929999999996,8000.0,41.9183,-84.0217,8000.0,41.67300000000085,-82.9405,14000.0,41.966200000000995,-84.2975,11000.0,41.673,-82.94049999999957,17000.0,41.9662,-84.2975,11000.0,41.96620000000412,-84.29750000000001,11000.0,41.673,-82.9404999999985,18615.59306899031,41.91829999999911,-84.02169999999965,8000.0,42.41649999999854,-82.60929999999996,8000.0,41.67300000000085,-82.9405,23000.0,42.4165,-82.60929999999999,8000.0,42.416500000006195,-82.60929999999999,8000.0,42.416500000001356,-82.60929999999996,8000.0,41.966200000000995,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.966199999999105,-84.29750000000001,11000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.966200000001095,-84.2975,11000.0,41.9183,-84.02170000000042,8000.0
129000,42.416499999999026,-82.60929999999999,8000.0,41.91829999999934,-84.02169999999981,8000.0,41.918300000002304,-84.0216999999995,8000.0,42.4165000000027,-82.60929999999999,8000.0,41.91829999999437,-84.02169999999909,8000.0,41.96620000000167,-84.2975,11000.0,42.41649999999903,-82.60929999999996,8000.0,41.673,-82.9405,24042.424992849068,41.673,-82.94049999999952,16984.082545699202,42.4165,-82.60929999999996,8000.0,41.91829999999493,-84.02169999999923,8000.0,41.673,-82.94049999999946,14000.0,41.9662,-84.29749999999999,11000.0,41.67300000000099,-82.9405,17000.0,41.96620000000324,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.673,-82.9405,18615.59306899031,41.91830000000097,-84.0217,8000.0,42.4165,-82.60929999999948,8000.0,41.673,-82.94049999999964,23000.0,42.41649999999891,-82.60929999999999,8000.0,42.4165,-82.60929999999999,8000.0,42.4165,-82.60929999999996,8000.0,41.9662,-84.29749999999999,11000.0,41.96619999999844,-84.29749999999999,11000.0,41.9662,-84.2975,11000.0,42.416500000004035,-82.60929999999999,8000.0,41.91830000000399,-84.02169999999941,8000.0,41.9662,-84.29750000000001,11000.0,41.91830000000099,-84.02169999999951,8000.0
129600,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.9662,-84.29749999999946,11000.0,42.41650000000108,-82.60929999999996,8000.0,41.673,-82.94049999999969,24042.424992849068,41.67300000000107,-82.9405,16984.082545699202,42.41649999999494,-82.60929999999996,8000.0,41.9183,-84.0217,8000.0,41.67300000000107,-82.9405,14000.0,41.96620000000117,-84.2975,11000.0,41.673,-82.94050000000054,17000.0,41.9662,-84.2975,11000.0,41.96620000000344,-84.29750000000001,11000.0,41.673,-82.94049999999838,18615.59306899031,41.9183,-84.0216999999996,8000.0,42.416499999998436,-82.60929999999996,8000.0,41.67299999999892,-82.9405,23000.0,42.4165,-82.60929999999999,8000.0,42.41650000000614,-82.60929999999999,8000.0,42.41650000000165,-82.60929999999922,8000.0,41.96620000000117,-84.2975,11000.0,41.9662,-84.2975,11000.0,41.96619999999892,-84.29750000000001,11000.0,42.4165,-82.60929999999999,8000.0,41.9183,-84.0217,8000.0,41.966200000001315,-84.2975,11000.0,41.9183,-84.0217,8000.0
