ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
ELIHO,39.684552777777775,-84.35956388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,I68,N39410439W084213443,SUSAP I68 K5CELIHO K50    W     N39410439W084213443                       W0063     NAR           ELIHO                    109012605,110905
ELIJA,41.19117222222222,-82.83559444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,16G,N41112822W082500814,SUSAP 16G K5CELIJA K50    W     N41112822W082500814                       W0075     NAR           ELIJA                    828192102,82824
ELMME,43.415638888888886,-84.72811666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMOP,N43245630W084434122,SUSAP KMOPK5CELMME K50    W     N43245630W084434122                       W0065     NAR           ELMME                    621352008,262138
ELNUW,41.50515,-82.99197222222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41301854W082593110,SUSAEAENRT   ELNUW K50    W     N41301854W082593110                       W0074     NAR           ELNUW                    340922504,34097
ELTEE,39.91256388888889,-83.01400833333334,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCMH,N39544523W083005043,SUSAP KCMHK5CELTEE K50    W     N39544523W083005043                       W0072     NAR           ELTEE                    526232304,152627
ELUPY,39.831072222222225,-83.07476666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCMH,N39495186W083042916,SUSAP KCMHK5CELUPY K50    W     N39495186W083042916                       W0072     NAR           ELUPY                    526242605,152628
ELUYE,41.72028888888889,-86.26421111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KEKM,N41431304W086155116,SUSAP KEKMK5CELUYE K50    W     N41431304W086155116                       W0052     NAR           ELUYE                    816672605,181671
EMIHO,41.692766666666664,-82.87173333333332,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41413396W082521824,SUSAEAENRT   EMIHO K50    W     N41413396W082521824                       W0076     NAR           EMIHO                    341462605,34151
EMMAJ,41.86242777777778,-80.31698055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KERI,N41514474W080190113,SUSAP KERIK6CEMMAJ K60    W     N41514474W080190113                       W0093     NAR           EMMAJ                    842462201,184250
EMPTY,39.963297222222224,-83.18694444444445,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N39574787W083111300,SUSAEAENRT   EMPTY K50    C   H N39574787W083111300                       W0071     NAR           EMPTY                    341752605,34180
ENDOF,41.58721944444445,-86.10449166666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,C03,N41351399W086061617,SUSAP C03 K5CENDOF K50    W     N41351399W086061617                       W0053     NAR           ENDOF                    055772605,105581
ENEGY,43.013755555555555,-85.03166666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,6D6,N43004952W085015400,SUSAP 6D6 K5CENEGY K50    W     N43004952W085015400                       W0062     NAR           ENEGY                    984922008,98497
ENEXE,43.63710555555556,-86.37702777777777,TERMINAL_WAYPOINT,USA,SUSAP,P,C,C04,N43381358W086223730,SUSAP C04 K5CENEXE K50    W     N43381358W086223730                       W0053     NAR           ENEXE                    055962201,105600
ENGLO,41.66013888888889,-81.09970833333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41393650W081055895,SUSAEAENRT   ENGLO K50    W     N41393650W081055895                       W0087     NAR           ENGLO                    342112602,34216
ENGRM,42.853180555555554,-85.07898055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KDTW,N42511145W085044433,SUSAP KDTWK5CENGRM K50    W     N42511145W085044433                       W0062     NAR           ENGRM                    750432304,175047
ENRUW,42.50337777777778,-85.55793333333332,TERMINAL_WAYPOINT,USA,SUSAP,P,C,35D,N42301216W085332856,SUSAP 35D K5CENRUW K50    W     N42301216W085332856                       W0058     NAR           ENRUW                    887512403,88756
