ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
TIFFT,31.428497222222223,-83.48881944444445,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31254259W083291975,SUSAEAENRT   TIFFT K70    W   L N31254259W083291975                       W0059     NAR           TIFFT                    508672504,50872
TIGNA,33.83248888888889,-82.76014166666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33495696W082453651,SUSAEAENRT   TIGNA K70    R   L N33495696W082453651                       W0067     NAR           TIGNA                    508732605,50878
TIKIE,32.50091111111111,-81.77940277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KJYL,N32300328W081464585,SUSAP KJYLK7CTIKIE K70    W     N32300328W081464585                       W0071     NAR           TIKIE                    323252504,232328
TIMMY,32.800380555555556,-85.54474722222223,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32480137W085324109,SUSAEAENRT   TIMMY K70    C   L N32480137W085324109                       W0047     NAR           TIMMY                    509092504,50914
TINAE,35.43143611111111,-86.22544444444445,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35255317W086133160,SUSAEAENRT   TINAE K70    W     N35255317W086133160                       W0045     NAR           TINAE                    509122403,50917
TINCA,34.73283888888889,-87.25101111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34435822W087150364,SUSAEAENRT   TINCA K70    W   L N34435822W087150364                       W0038     NAR           TINCA                    509142605,50919
TINEY,35.24590555555556,-82.71076666666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35144526W082423876,SUSAEAENRT   TINEY K70    W     N35144526W082423876                       W0068     NAR           TINEY                    509172403,50922
TINPE,34.51255,-83.86541666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAJR,N34304518W083515550,SUSAP KAJRK7CTINPE K70    W     N34304518W083515550                       W0060     NAR           TINPE                    183762504,118380
TIPPN,35.38563333333333,-86.39226388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBNA,N35230828W086233215,SUSAP KBNAK7CTIPPN K70    W     N35230828W086233215                       W0044     NAR           TIPPN                    369602504,136964
TIVIL,35.022219444444445,-82.34396388888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KGMU,N35011999W082203827,SUSAP KGMUK7CTIVIL K70    W     N35011999W082203827                       W0071     NAR           TIVIL                    018062605,201809
TIZRA,32.380694444444444,-83.18189166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,48A,N32225050W083105481,SUSAP 48A K7CTIZRA K70    W     N32225050W083105481                       W0062     NAR           TIZRA                    923122504,92317
TMALL,32.591686111111116,-85.33181111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAUO,N32353007W085195452,SUSAP KAUOK7CTMALL K70    W     N32353007W085195452                       W0049     NAR           TMALL                    268222605,126826
TMMEL,35.87328333333333,-84.99052222222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35522382W084592588,SUSAEAENRT   TMMEL K70    W     N35522382W084592588                       W0054     NAR           TMMEL                    509692504,50974
TMPSN,35.78098333333333,-84.97865277777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35465154W084584315,SUSAEAENRT   TMPSN K70    W   L N35465154W084584315                       W0054     NAR           TMPSN                    509702504,50975
TNSLY,35.09493888888889,-82.00031666666666,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35054178W082000114,SUSAEAENRT   TNSLY K70    W     N35054178W082000114                       W0073     NAR           TNSLY                    509772605,50982
TOBSE,32.678016666666664,-85.6598,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAUO,N32404086W085393528,SUSAP KAUOK7CTOBSE K70    W     N32404086W085393528                       W0047     NAR           TOBSE                    268232605,126827
