ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
KOHHL,45.31573888888889,-91.80365833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KRPD,N45185666W091481317,SUSAP KRPDK5CKOHHL K50    W     N45185666W091481317                       W0013     NAR           KOHHL                    043542403,304356
KOKAW,43.07130277777778,-94.66540833333335,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KEGQ,N43041669W094395547,SUSAP KEGQK3CKOKAW K30    W     N43041669W094395547                       E0010     NAR           KOKAW                    812402605,181244
KOLGY,43.887119444444444,-90.49159166666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCMY,N43531363W090292973,SUSAP KCMYK5CKOLGY K50    W     N43531363W090292973                       W0022     NAR           KOLGY                    533852403,153389
KOLRE,46.09575277777778,-89.8544611111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,D25,N46054471W089511606,SUSAP D25 K5CKOLRE K50    W     N46054471W089511606                       W0029     NAR           KOLRE                    068642201,106868
KOMDE,43.39987222222222,-95.35868888888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KSPW,N43235954W095213128,SUSAP KSPWK3CKOMDE K30    W     N43235954W095213128                       E0015     NAR           KOMDE                    219122605,321914
KOVRE,43.820794444444445,-96.0595111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLYV,N43491486W096033424,SUSAP KLYVK3CKOVRE K30    W     N43491486W096033424                       E0020     NAR           KOVRE                    478352605,247838
KP03E,45.5,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45300000W096000000,SUSAEAENRT   KP03E K30     W    N45300000W096000000                       E0020     NAR           KP03E                    418782403,41883
KP03G,45.5,-94.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45300000W094000000,SUSAEAENRT   KP03G K30     W    N45300000W094000000                       E0004     NAR           KP03G                    418792605,41884
KP03I,45.5,-92.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45300000W092000000,SUSAEAENRT   KP03I K50     W    N45300000W092000000                       W0012     NAR           KP03I                    418802605,41885
KP03K,45.5,-90.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45300000W090000000,SUSAEAENRT   KP03K K50     W    N45300000W090000000                       W0028     NAR           KP03K                    418812605,41886
KP06E,46.0,-96.0,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46000000W096000000,SUSAEAENRT   KP06E K30     V    N46000000W096000000                       E0019     NAR           KP06E                    418882605,41893
