ident,lat,lon,waypoint_classes,area_codes,record_count
ACEBO,48.67418889,-95.63234722,TERMINAL_WAYPOINT,USA,1
ACECE,41.82074444,-89.86856667,ENROUTE_WAYPOINT,USA,1
ACECI,30.01130556,-95.80499444,TERMINAL_WAYPOINT,USA,1
ACEDI,36.92063889,-88.93940556,TERMINAL_WAYPOINT,USA,1
ACEHO,41.85336944,-102.69515,TERMINAL_WAYPOINT,USA,1
ACEHY,41.105325,-87.08208611,ENROUTE_WAYPOINT,USA,1
ACEJU,29.59487778,-82.91498056,ENROUTE_WAYPOINT,USA,1
ACEKO,39.02048889,-120.51670833,TERMINAL_WAYPOINT,USA,1
ACELA,41.43885833,-72.78085278,TERMINAL_WAYPOINT,USA,1
ACELI,35.42302222,-108.09124722,TERMINAL_WAYPOINT,USA,1
ACELL,33.92450278,-117.85996111,ENROUTE_WAYPOINT,USA,1
ACELO,39.37447778,-78.28693611,TERMINAL_WAYPOINT,USA,1
ACEMI,42.11458611,-90.19880833,TERMINAL_WAYPOINT,USA,1
ACENE,30.53437778,-81.62130556,TERMINAL_WAYPOINT,USA,1
ACENO,35.31745556,-78.85641667,ENROUTE_WAYPOINT,USA,1
ACEPA,36.89210556,-113.59353333,ENROUTE_WAYPOINT,USA,1
ACEPU,43.25244444,-88.12523889,ENROUTE_WAYPOINT,USA,1
ACERA,33.86660833,-84.19323889,TERMINAL_WAYPOINT,USA,1
ACERB,35.09895556,-81.12860556,ENROUTE_WAYPOINT,USA,1
ACERE,25.77078889,-80.66676667,TERMINAL_WAYPOINT,USA,1
ACERI,38.04841944,-103.40123889,TERMINAL_WAYPOINT,USA,1
ACERO,36.363525,-103.21218889,TERMINAL_WAYPOINT,USA,1
ACERT,35.984325,-96.13289722,TERMINAL_WAYPOINT,USA,1
ACESI,37.42717778,-97.41823056,TERMINAL_WAYPOINT,USA,1
ACETE,40.26391111,-80.59058333,TERMINAL_WAYPOINT,USA,1
ACETI,30.11254444,-81.873025,TERMINAL_WAYPOINT,USA,1
ACETN,44.51425,-109.03409722,TERMINAL_WAYPOINT,USA,1
ACETO,38.14280278,-85.00724167,TERMINAL_WAYPOINT,USA,1
ACETY,36.93419167,-121.51586389,TERMINAL_WAYPOINT,USA,1
ACEYE,60.60734722,-151.49856667,TERMINAL_WAYPOINT,CAN,1
ACFIJ,43.21314444,-113.08352222,ENROUTE_WAYPOINT,USA,1
ACGET,29.86799444,-98.09029722,TERMINAL_WAYPOINT,USA,1
ACHAV,29.48251667,-83.06036944,ENROUTE_WAYPOINT,USA,1
ACHED,43.31893611,-87.85224167,ENROUTE_WAYPOINT,USA,1
ACHES,37.43588333,-105.43355556,ENROUTE_WAYPOINT,USA,1
ACHLE,38.54210278,-82.62855278,TERMINAL_WAYPOINT,USA,1
ACHOO,39.18881111,-85.07216389,TERMINAL_WAYPOINT,USA,1
ACHOZ,37.30343056,-122.04139444,TERMINAL_WAYPOINT,USA,1
ACIBE,40.84668056,-85.54661944,TERMINAL_WAYPOINT,USA,1
ACIDS,40.18171389,-83.44706389,ENROUTE_WAYPOINT,USA,1
ACIDU,42.76128333,-88.62611667,TERMINAL_WAYPOINT,USA,1
ACIDY,43.05021667,-75.95369722,TERMINAL_WAYPOINT,USA,1
ACIGE,60.43980556,-151.7689,ENROUTE_WAYPOINT,CAN,1
ACIGO,38.23961111,-89.699,TERMINAL_WAYPOINT,USA,1
ACIKI,39.68373611,-79.92448611,TERMINAL_WAYPOINT,USA,1
ACILI,37.46183333,-77.44408056,TERMINAL_WAYPOINT,USA,1
ACINI,31.88000278,-110.51725278,ENROUTE_WAYPOINT,USA,1
ACINS,33.93387778,-117.16211944,ENROUTE_WAYPOINT,USA,1
ACIPO,40.537175,-111.97855833,TERMINAL_WAYPOINT,USA,1
ACIPU,27.44113056,-82.60752222,TERMINAL_WAYPOINT,USA,1
ACIRA,41.94293889,-83.57383333,TERMINAL_WAYPOINT,USA,1
ACIRI,67.81201389,-164.75033333,TERMINAL_WAYPOINT,CAN,1
ACISA,40.83939722,-85.39204167,TERMINAL_WAYPOINT,USA,1
ACITO,41.39861111,-88.18333333,ENROUTE_WAYPOINT,USA,1
ACITU,44.43913889,-105.56479444,TERMINAL_WAYPOINT,USA,1
ACIVE,60.56655556,-161.94298333,TERMINAL_WAYPOINT,CAN,1
ACIVU,28.92597778,-95.58684167,TERMINAL_WAYPOINT,USA,1
ACIWA,37.09280833,-90.31512778,TERMINAL_WAYPOINT,USA,1
ACIWY,38.16312778,-89.18897222,TERMINAL_WAYPOINT,USA,1
ACIYO,36.47509444,-121.4402,TERMINAL_WAYPOINT,USA,1
ACIYU,39.84520556,-85.78158056,TERMINAL_WAYPOINT,USA,1
ACJAD,30.23939722,-85.77824722,ENROUTE_WAYPOINT,USA,1
ACKBR,51.88813333,-176.92256667,ENROUTE_WAYPOINT,CAN,1
ACKEE,35.18443333,-87.83423333,ENROUTE_WAYPOINT,USA,1
ACKEG,42.43699444,-96.97359167,TERMINAL_WAYPOINT,USA,1
ACKEX,41.52301667,-73.98674167,ENROUTE_WAYPOINT,USA,1
ACKLE,28.92474167,-95.46183889,TERMINAL_WAYPOINT,USA,1
ACKLI,30.36496667,-81.45283889,ENROUTE_WAYPOINT,USA,1
ACKLY,41.10940556,-91.87716944,ENROUTE_WAYPOINT,USA,1
ACKME,33.84756667,-97.67785278,ENROUTE_WAYPOINT,USA,1
ACLAC,35.12688611,-81.19959444,TERMINAL_WAYPOINT,USA,1
ACLAM,36.07509167,-114.52258611,ENROUTE_WAYPOINT,USA,1
ACLIK,42.53048333,-95.45569444,TERMINAL_WAYPOINT,USA,1
ACLIM,39.71089444,-75.01598333,TERMINAL_WAYPOINT,USA,1
ACLIN,29.18230833,-98.49986944,ENROUTE_WAYPOINT,USA,1
ACLOB,42.23965556,-122.28383056,ENROUTE_WAYPOINT,USA,1
ACMAN,35.069075,-85.58026111,ENROUTE_WAYPOINT,USA,1
ACMED,32.72770833,-78.22694722,ENROUTE_WAYPOINT,USA,1
ACMEE,22.17437778,-75.05638056,ENROUTE_WAYPOINT,USA,1
ACMES,30.92420278,-88.36967222,ENROUTE_WAYPOINT,USA,1
ACMIE,34.94893611,-106.67488889,TERMINAL_WAYPOINT,USA,1
ACMOD,28.36996667,-80.77695,TERMINAL_WAYPOINT,USA,1
ACMOF,28.88494722,-81.89262778,TERMINAL_WAYPOINT,USA,1
ACNOP,42.93877778,-85.18241111,TERMINAL_WAYPOINT,USA,1
ACOBI,38.92323611,-78.23344444,TERMINAL_WAYPOINT,USA,1
