t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
30,41.673,-82.9405,25615.593068990085,41.4165,-81.67329999999997,22000.0
31,41.673,-82.9405,25615.593068990085,41.4165,-81.74529999999997,21000.0
32,41.673,-82.9405,25615.593068990085,41.6665,-81.81729999999997,20000.0
33,41.673,-82.9405,25615.593068990085,41.6665,-81.88929999999998,19000.0
34,41.673,-82.9405,25615.59306899013,41.6665,-81.96129999999998,18000.0
35,41.673,-82.9405,25615.59306899013,41.6665,-82.03329999999998,17000.0
36,41.673,-82.9405,25615.59306899013,41.6665,-82.10529999999999,16000.0
37,41.673,-82.9405,25615.59306899013,41.9165,-82.17729999999999,15000.0
38,41.673,-82.9405,25615.59306899013,41.9165,-82.24929999999999,14000.0
39,41.673,-82.9405,25615.59306899013,41.9165,-82.3213,13000.0
40,41.673,-82.9405,25615.59306899013,42.1665,-82.3933,12000.0
41,41.673,-82.9405,25615.59306899013,42.4165,-82.4653,11000.0
42,41.673,-82.9405,25615.59306899013,42.4165,-82.5373,10000.0
43,41.673,-82.9405,25615.5930689901,42.4165,-82.6093,9000.0
44,41.673,-82.9405,25615.59306899007,42.4165,-82.6093,9000.0
45,41.673,-82.9405,25615.59306899007,42.4165,-82.6093,9000.0
46,41.673,-82.9405,25615.59306899004,42.4165,-82.6093,9000.0
47,41.673,-82.9405,25615.59306899004,42.4165,-82.6093,9000.0
48,41.673,-82.9405,25615.59306899004,42.4165,-82.6093,9000.0
49,41.673,-82.9405,25615.593068990012,42.4165,-82.6093,9000.0
50,41.673,-82.9405,25615.593068990012,42.4165,-82.6093,9000.0
51,41.673,-82.9405,25615.593068990012,42.4165,-82.6093,9000.0
52,41.673,-82.9405,25615.593068989983,42.4165,-82.6093,9000.0
53,41.673,-82.9405,25615.593068989983,42.4165,-82.6093,9000.0
54,41.673,-82.9405,25615.593068989983,42.4165,-82.6093,9000.0
55,41.673,-82.9405,25615.593068989954,42.4165,-82.6093,9000.0
56,41.673,-82.9405,25615.593068989954,42.4165,-82.6093,9000.0
57,41.673,-82.9405,25615.593068989954,42.4165,-82.6093,9000.0
58,41.673,-82.9405,25615.59306898991,42.4165,-82.6093,9000.0
59,41.673,-82.9405,25615.59306898991,42.4165,-82.6093,9000.0
60,41.673,-82.9405,25615.59306898991,42.4165,-82.6093,9000.0
61,41.673,-82.9405,25615.59306898991,42.4165,-82.6093,9000.0
62,41.673,-82.9405,25615.59306898997,42.4165,-82.6093,9000.0
63,41.673,-82.9405,25615.593068990027,42.4165,-82.6093,9000.0
64,41.673,-82.9405,25615.593068990027,42.4165,-82.6093,9000.0
65,41.673,-82.9405,25615.593068990027,42.4165,-82.6093,9000.0
66,41.673,-82.9405,25615.593068990027,42.4165,-82.6093,9000.0
67,41.673,-82.9405,25615.593068990085,42.4165,-82.6093,9000.0
68,41.673,-82.9405,25615.593068990085,42.4165,-82.6093,9000.0
69,41.673,-82.9405,25615.593068990085,42.4165,-82.6093,9000.0
70,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
71,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
72,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
73,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
74,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
75,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
76,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
77,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
78,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
79,41.673,-82.9405,25615.593068990143,42.4165,-82.6093,9000.0
80,41.673,-82.9405,25615.5930689902,42.4165,-82.6093,9000.0
