region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon
958,10,42.660000,42.680000,-83.990000,-83.975000,42.671000,-83.985000
959,6,42.665000,42.675000,-84.190000,-84.175000,42.668333,-84.183333
966,17,42.640000,42.665000,-83.055000,-83.040000,42.653235,-83.047059
1003,5,42.560000,42.570000,-84.100000,-84.090000,42.565000,-84.095000
1065,5,42.045000,42.050000,-84.335000,-84.320000,42.048000,-84.328000
1077,2469,41.630000,42.040000,-84.740000,-84.270000,41.869502,-84.494186
1087,6,42.005000,42.015000,-84.465000,-84.455000,42.009167,-84.460000
1115,14,41.895000,41.915000,-84.655000,-84.630000,41.906786,-84.645357
1124,6,41.890000,41.895000,-84.685000,-84.665000,41.893333,-84.675833
1143,516,41.695000,41.845000,-85.055000,-84.885000,41.762655,-84.959981
1154,11,41.795000,41.810000,-84.770000,-84.750000,41.801364,-84.760455
1159,58,41.750000,41.795000,-84.765000,-84.705000,41.775172,-84.738793
1170,11,41.740000,41.755000,-85.115000,-85.090000,41.749091,-85.098636
1174,110,41.710000,41.750000,-84.825000,-84.740000,41.732545,-84.783818
1191,10,41.695000,41.705000,-84.805000,-84.785000,41.700500,-84.795500
1192,1122,41.470000,41.700000,-85.415000,-85.010000,41.598908,-85.244461
1201,30,41.665000,41.690000,-84.880000,-84.835000,41.679333,-84.860500
1214,21,41.660000,41.680000,-84.835000,-84.790000,41.672381,-84.810238
1225,12,41.650000,41.665000,-84.810000,-84.775000,41.657083,-84.791667
1258,115,41.560000,41.630000,-84.700000,-84.625000,41.587957,-84.664391
1273,7,41.595000,41.605000,-84.855000,-84.840000,41.600714,-84.848571
1278,46,41.580000,41.600000,-84.980000,-84.910000,41.590978,-84.948043
1280,10,41.585000,41.595000,-84.910000,-84.885000,41.588000,-84.897000
1284,30,41.565000,41.585000,-84.850000,-84.790000,41.574500,-84.823333
1286,6,41.570000,41.580000,-85.160000,-85.145000,41.575000,-85.152500
1299,5,41.555000,41.565000,-85.130000,-85.120000,41.561000,-85.125000
1300,23,41.550000,41.565000,-85.050000,-85.000000,41.555870,-85.028261
1308,50,41.515000,41.560000,-84.735000,-84.680000,41.537500,-84.709700
1313,5,41.545000,41.555000,-84.825000,-84.820000,41.550000,-84.822000
1315,10,41.530000,41.550000,-85.395000,-85.380000,41.539000,-85.388500
1320,3904,40.825000,41.545000,-85.650000,-85.055000,41.192669,-85.349106
1328,10,41.530000,41.535000,-84.985000,-84.955000,41.532000,-84.969500
1330,6,41.520000,41.530000,-84.950000,-84.940000,41.525833,-84.943333
1345,7,41.475000,41.495000,-85.235000,-85.225000,41.485000,-85.231429
1353,7,41.460000,41.470000,-85.030000,-85.010000,41.465000,-85.019286
1355,7,41.445000,41.460000,-85.265000,-85.255000,41.450714,-85.262143
1363,20,41.430000,41.445000,-85.005000,-84.960000,41.436750,-84.984500
1379,8,41.400000,41.410000,-85.115000,-85.095000,41.405625,-85.105625
1381,17,41.395000,41.405000,-84.940000,-84.895000,41.402059,-84.919412
1386,12,41.370000,41.385000,-84.830000,-84.810000,41.378750,-84.819583
1391,88,41.285000,41.350000,-85.040000,-84.960000,41.321989,-85.004489
1402,5,41.285000,41.295000,-85.015000,-85.010000,41.289000,-85.013000
1409,162,41.220000,41.275000,-85.150000,-85.025000,41.251111,-85.089259
1421,12,41.215000,41.235000,-85.180000,-85.165000,41.224583,-85.174583
1427,16,41.200000,41.215000,-85.815000,-85.785000,41.206250,-85.800625
1434,5,41.190000,41.190000,-85.795000,-85.775000,41.190000,-85.785000
1439,8,41.170000,41.175000,-85.820000,-85.800000,41.173125,-85.810000
1456,11,41.070000,41.090000,-85.325000,-85.305000,41.078636,-85.316818
1473,13,41.050000,41.065000,-85.330000,-85.305000,41.055769,-85.317308
1482,17,41.045000,41.060000,-85.190000,-85.150000,41.053235,-85.171765
1489,10,41.045000,41.050000,-85.300000,-85.275000,41.047000,-85.289500
