t,f1_alt_ft,f1_lat,f1_lon,f2_alt_ft,f2_lat,f2_lon,f3_alt_ft,f3_lat,f3_lon
1470.0,31000.0,40.87672799999994,-82.56995600000008,31000.0,40.82068200000004,-82.66968400000005,31000.0,43.079716,-81.16191449275372
1500.0,30000.0,40.918231428571374,-82.58077714285722,30000.0,40.86126857142861,-82.68258000000004,30000.0,43.04813428571428,-81.23068376811604
1530.0,29000.0,40.959734857142806,-82.59159828571435,29000.0,40.90185514285718,-82.69547600000004,29000.0,43.01655257142857,-81.29945304347835
1560.0,28000.0,41.00123828571424,-82.6024194285715,28000.0,40.94244171428575,-82.70837200000004,28000.0,42.984970857142855,-81.36822231884067
1590.0,27000.0,41.04274171428567,-82.61324057142863,27000.0,40.98302828571432,-82.72126800000004,27000.0,42.95338914285714,-81.43699159420298
1620.0,26000.0,41.0842451428571,-82.62406171428577,26000.0,41.02361485714289,-82.73416400000004,26000.0,42.92180742857143,-81.5057608695653
1650.0,25000.0,41.12574857142853,-82.63488285714291,25000.0,41.06420142857146,-82.74706000000003,25000.0,42.89022571428571,-81.5745301449276
1680.0,24000.0,41.16725199999996,-82.64570400000005,24000.0,41.10478800000003,-82.75995600000003,24000.0,42.858644,-81.64329942028992
1710.0,23000.0,41.20875542857139,-82.65652514285719,23000.0,41.1453745714286,-82.77285200000003,23000.0,42.827062285714284,-81.71206869565223
1740.0,22000.0,41.250258857142825,-82.66734628571433,22000.0,41.18596114285717,-82.78574800000003,22000.0,42.79548057142857,-81.78083797101455
1770.0,21000.0,41.291762285714256,-82.67816742857147,21000.0,41.226547714285736,-82.79864400000002,21000.0,42.763898857142856,-81.84960724637686
1800.0,20000.0,41.33326571428569,-82.68898857142861,20000.0,41.267134285714306,-82.81154000000002,20000.0,42.73231714285714,-81.91837652173918
1830.0,19000.0,41.37476914285712,-82.69980971428575,19000.0,41.307720857142876,-82.82443600000002,19000.0,42.70073542857143,-81.98714579710149
1860.0,18000.0,41.41627257142855,-82.71063085714289,18000.0,41.348307428571445,-82.83733200000002,18000.0,42.66915371428571,-82.0559150724638
1890.0,17000.0,41.45777599999998,-82.72145200000003,17000.0,41.388894000000015,-82.85022800000002,17000.0,42.637572,-82.12468434782612
1920.0,16000.0,41.49927942857141,-82.73227314285717,16000.0,41.429480571428584,-82.86312400000001,16000.0,42.605990285714284,-82.19345362318843
1950.0,15000.0,41.540782857142844,-82.7430942857143,15000.0,41.470067142857154,-82.87602000000001,15000.0,42.57440857142857,-82.26222289855075
1980.0,14000.0,41.582286285714275,-82.75391542857145,14000.0,41.51065371428572,-82.88891600000001,14000.0,42.542826857142856,-82.33099217391306
2010.0,13000.0,41.62378971428571,-82.76473657142859,13000.0,41.55124028571429,-82.901812,13000.0,42.51124514285714,-82.39976144927537
2040.0,12000.0,41.66529314285714,-82.77555771428572,12000.0,41.59182685714286,-82.914708,12000.0,42.47966342857143,-82.46853072463769
2070.0,11000.0,41.70679657142857,-82.78637885714286,11000.0,41.63241342857143,-82.927604,11000.0,42.44808171428571,-82.5373
2100.0,10000.0,41.7483,-82.7972,10000.0,41.673,-82.9405,10000.0,42.4165,-82.6093
