region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon,t_minutes,shift_meters
364,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
367,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
376,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
409,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
415,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
416,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
419,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
422,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
423,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
426,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
441,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
446,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
454,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
462,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
463,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
468,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
485,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
500,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
503,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
506,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
514,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
517,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
531,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
541,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
559,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
562,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
591,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
595,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
605,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
606,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
611,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
625,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
632,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
636,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
643,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
647,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
649,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
652,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
654,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
669,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
677,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
689,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
695,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
700,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
703,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
708,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
728,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
730,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
732,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
739,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
740,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
742,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
754,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
756,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
759,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
762,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
767,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
773,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
782,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
792,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
811,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
812,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
856,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
860,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
869,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
875,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
894,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
896,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
899,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
901,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
925,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
943,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
955,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
957,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
958,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
959,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
966,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1003,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1065,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1077,2469,40.587733197203534,40.997807687897314,-84.74,-84.27,40.82727869454409,-84.494186,25,115750.0
1087,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1115,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1124,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
