t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft
171600,41.96619999999516,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79720000000061,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999996,8000.0,42.686900000000726,-83.9603,11000.0,41.9183,-84.02169999999988,8000.0,41.673,-82.94050000000114,23000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.966200000001095,-84.2975,11000.0,42.416500000000426,-82.60929999999996,8000.0,41.91829999999928,-84.0217,8000.0,41.91829999999878,-84.02169999999951,8000.0,41.673,-82.94049999999974,15678.523878325837
172200,41.9662,-84.2974999999987,11000.0,42.41650000000084,-82.60929999999996,8000.0,41.74830000000076,-82.7972,21000.0,41.673000000000386,-82.94049999999979,14843.470164334689,42.416500000000504,-82.60929999999996,8000.0,42.6869,-83.96029999999972,11000.0,41.918300000000386,-84.0217,8000.0,41.673000000001004,-82.9405,23000.0,41.91830000000106,-84.02169999999948,8000.0,41.918300000003946,-84.02169999999903,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.9183,-84.02169999999988,8000.0,41.9183,-84.0217,8000.0,41.67299999999949,-82.9405,15678.523878325837
172800,41.966200000004584,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79719999999968,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999976,8000.0,42.686900000000875,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.94049999999963,23000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.96620000000089,-84.2975,11000.0,42.41650000000051,-82.60929999999996,8000.0,41.91830000000043,-84.0217,8000.0,41.91829999999895,-84.02169999999958,8000.0,41.673,-82.94050000000026,15678.523878325837
173400,41.9662,-84.29749999999883,11000.0,42.41650000000099,-82.60929999999996,8000.0,41.74830000000082,-82.7972,21000.0,41.67300000000027,-82.9405,14843.470164334689,42.416500000000596,-82.60929999999996,8000.0,42.6869,-83.96029999999975,11000.0,41.918300000000265,-84.0217,8000.0,41.67300000000106,-82.9405,23000.0,41.918300000001175,-84.0216999999995,8000.0,41.91830000000339,-84.02169999999911,8000.0,41.9662,-84.29749999999981,11000.0,42.4165,-82.60929999999975,8000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.67299999999938,-82.9405,15678.523878325837
174000,41.96620000000424,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79719999999972,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999972,8000.0,42.68690000000093,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.94049999999963,23000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.96620000000071,-84.2975,11000.0,42.416500000000646,-82.60929999999996,8000.0,41.918300000000315,-84.0217,8000.0,41.918300000001,-84.02170000000025,8000.0,41.673,-82.9405000000003,15678.523878325837
174600,41.9662,-84.29749999999883,11000.0,42.41650000000106,-82.60929999999996,8000.0,41.74830000000095,-82.7972,21000.0,41.672999999999746,-82.9405,14843.470164334689,42.41650000000072,-82.60929999999996,8000.0,42.6869,-83.96029999999972,11000.0,41.91830000000044,-84.0217,8000.0,41.673000000001046,-82.9405,23000.0,41.918300000001274,-84.02169999999964,8000.0,41.91830000000327,-84.02169999999913,8000.0,41.9662,-84.29750000000017,11000.0,42.4165,-82.60929999999972,8000.0,41.9183,-84.02169999999988,8000.0,41.91829999999912,-84.0217,8000.0,41.67299999999929,-82.9405,15678.523878325837
175200,41.966200000003965,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.7971999999998,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.6092999999997,8000.0,42.686900000000996,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.9404999999997,23000.0,41.9183,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.966200000000576,-84.2975,11000.0,42.41650000000078,-82.60929999999996,8000.0,41.91830000000042,-84.0217,8000.0,41.9183,-84.0217000000002,8000.0,41.673,-82.94050000000034,15678.523878325837
175800,41.9662,-84.29749999999886,11000.0,42.41650000000112,-82.60929999999964,8000.0,41.748300000000775,-82.7972,21000.0,41.67299999999997,-82.9405,14843.470164334689,42.41650000000077,-82.60929999999996,8000.0,42.6869,-83.96029999999969,11000.0,41.918300000000315,-84.0217,8000.0,41.673000000000876,-82.9405,23000.0,41.91829999999861,-84.02169999999967,8000.0,41.918300000003114,-84.02169999999924,8000.0,41.9662,-84.29749999999981,11000.0,42.4165,-82.60929999999976,8000.0,41.9183,-84.02169999999987,8000.0,41.91830000000082,-84.0217,8000.0,41.67299999999915,-82.9405,15678.523878325837
176400,41.96620000000385,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.7483,-82.79719999999983,21000.0,41.673,-82.9405,14843.470164334689,42.4165,-82.60929999999972,8000.0,42.686900000001025,-83.9603,11000.0,41.9183,-84.0217,8000.0,41.673,-82.94049999999976,23000.0,41.91830000000139,-84.0217,8000.0,41.9183,-84.0217,8000.0,41.96619999999935,-84.2975,11000.0,42.41650000000061,-82.60929999999996,8000.0,41.918300000000556,-84.0217,8000.0,41.91829999999932,-84.02170000000015,8000.0,41.673,-82.94050000000034,15678.523878325837
177000,41.9662,-84.29749999999893,11000.0,42.41650000000106,-82.60929999999968,8000.0,41.74830000000066,-82.7972,21000.0,41.67300000000017,-82.9405,14843.470164334689,42.416500000000745,-82.60929999999996,8000.0,42.6869,-83.96029999999972,11000.0,41.91830000000019,-84.0217,8000.0,41.67300000000083,-82.9405,23000.0,41.9183,-84.02169999999967,8000.0,41.918300000002944,-84.02169999999933,8000.0,41.9662000000006,-84.29749999999986,11000.0,42.4165,-82.60929999999979,8000.0,41.9183,-84.02169999999984,8000.0,41.9183,-84.0217,8000.0,41.672999999999064,-82.9405,15678.523878325837
