t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft
88800,41.673,-82.9405,18615.59306899031,42.416499999986975,-82.60929999999996,8000.0,41.96619999998498,-84.29749999999999,11000.0,42.4164999999874,-82.60929999999996,8000.0,41.673,-82.94049999999874,14000.0
89400,41.673,-82.94049999999821,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
90000,41.673,-82.9405,18615.59306899031,42.41649999998648,-82.60929999999996,8000.0,41.96619999998444,-84.29749999999999,11000.0,42.416499999987,-82.60929999999996,8000.0,41.673,-82.9404999999987,14000.0
90600,41.673,-82.94049999999812,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
91200,41.673,-82.9405,18615.59306899031,42.41649999998628,-82.60929999999996,8000.0,41.96619999998365,-84.29749999999999,11000.0,42.41649999998662,-82.60929999999996,8000.0,41.673,-82.94049999999865,14000.0
91800,41.673,-82.9404999999981,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
92400,41.673,-82.9405,18615.59306899031,42.41649999998642,-82.60929999999996,8000.0,41.96619999998343,-84.29749999999999,11000.0,42.416499999986605,-82.60929999999996,8000.0,41.673,-82.9404999999985,14000.0
93000,41.673,-82.9404999999981,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
93600,41.673,-82.9405,18615.59306899031,42.4164999999854,-82.60929999999996,8000.0,41.96619999998327,-84.29749999999999,11000.0,42.41649999998611,-82.60929999999996,8000.0,41.673,-82.94049999999844,14000.0
94200,41.673,-82.94049999999798,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
94800,41.673,-82.9405,18615.59306899031,42.41649999998506,-82.60929999999996,8000.0,41.966199999982564,-84.29749999999999,11000.0,42.41649999998641,-82.60929999999996,8000.0,41.673,-82.94049999999838,14000.0
95400,41.673,-82.94049999999801,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
96000,41.673,-82.9405,18615.59306899031,42.41649999998533,-82.60929999999996,8000.0,41.96619999998276,-84.29749999999999,11000.0,42.41649999998584,-82.60929999999996,8000.0,41.673,-82.9404999999983,14000.0
96600,41.673,-82.94049999999793,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
97200,41.673,-82.9405,18615.59306899031,42.416499999985284,-82.60929999999996,8000.0,41.96619999998326,-84.29749999999999,11000.0,42.41649999998554,-82.60929999999996,8000.0,41.673,-82.94049999999824,14000.0
97800,41.673,-82.9404999999979,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
98400,41.673,-82.9405,18615.59306899031,42.41649999998538,-82.60929999999996,8000.0,41.96619999998289,-84.29749999999999,11000.0,42.416499999985895,-82.60929999999996,8000.0,41.673,-82.94049999999815,14000.0
99000,41.673,-82.94049999999784,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
99600,41.673,-82.9405,18615.59306899031,42.416499999984886,-82.60929999999996,8000.0,41.966199999982614,-84.29749999999999,11000.0,42.416499999986165,-82.60929999999996,8000.0,41.673,-82.94049999999804,14000.0
100200,41.673,-82.94049999999784,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
100800,41.673,-82.9405,18615.59306899031,42.41649999998506,-82.60929999999996,8000.0,41.966199999982585,-84.29749999999999,11000.0,42.41649999998601,-82.60929999999996,8000.0,41.673,-82.94049999999801,14000.0
101400,41.673,-82.94049999999781,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
102000,41.673,-82.9405,18615.59306899031,42.41649999998479,-82.60929999999996,8000.0,41.96619999998247,-84.29749999999999,11000.0,42.41649999998564,-82.60929999999996,8000.0,41.673,-82.94049999999793,14000.0
102600,41.673,-82.94049999999775,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
103200,41.673,-82.9405,18615.59306899031,42.41649999998079,-82.60929999999996,8000.0,41.966199999981924,-84.29749999999999,11000.0,42.416499999985255,-82.60929999999996,8000.0,41.673,-82.9404999999979,14000.0
103800,41.673,-82.94049999999775,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
104400,41.673,-82.9405,18615.59306899031,42.416499999980566,-82.60929999999996,8000.0,41.966199999982486,-84.29749999999999,11000.0,42.41649999998511,-82.60929999999996,8000.0,41.673,-82.9404999999979,14000.0
105000,41.672999999999945,-82.94049999999764,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
105600,41.673,-82.9405,18615.59306899031,42.41649999998064,-82.60929999999996,8000.0,41.9661999999771,-84.29749999999999,11000.0,42.41649999998018,-82.60929999999996,8000.0,41.673,-82.94049999999784,14000.0
106200,41.673000000018696,-82.94049999999764,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
106800,41.673,-82.9405,18615.59306899031,42.416499999980196,-82.60929999999999,8000.0,41.96619999997655,-84.29749999999999,11000.0,42.416499999980424,-82.60929999999996,8000.0,41.673,-82.94049999999778,14000.0
107400,41.673000000018654,-82.9404999999977,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
108000,41.673,-82.9405,18615.59306899031,42.41649999997997,-82.60929999999996,8000.0,41.96619999997584,-84.29749999999999,11000.0,42.416499999979756,-82.60929999999996,8000.0,41.673,-82.94049999999775,14000.0
108600,41.673000000018284,-82.94049999999767,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
109200,41.673,-82.9405,18615.59306899031,42.41649999997977,-82.60929999999996,8000.0,41.966199999975835,-84.29749999999999,11000.0,42.416499999979756,-82.60929999999993,8000.0,41.673,-82.94049999999773,14000.0
109800,41.67300000001863,-82.9404999999978,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
110400,41.673,-82.9405,18615.59306899031,42.416499999979955,-82.60929999999996,8000.0,41.966199999975984,-84.29750000000001,11000.0,42.416499999979756,-82.60929999999996,8000.0,41.673,-82.94049999999764,14000.0
111000,41.67300000001909,-82.94049999999785,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
111600,41.673,-82.9405,18615.59306899031,42.41649999997926,-82.60929999999996,8000.0,41.96619999997572,-84.29750000000001,11000.0,42.4164999999794,-82.60929999999996,8000.0,41.673,-82.94049999999767,14000.0
112200,41.6730000000189,-82.94049999999673,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
